date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-12-07,10780.21,10855.72,10855.72,10751.2,74521760,75.95,0.7,10884.122,10954.037,10938.387,86448470.4,96036012.8,99296281.6
2016-12-08,10865.22,10865.22,10812.3,10804.74,78383208,-43.42,-0.4,10828.95,10938.52,10937.919,83044004.8,93599020,98165747.2
2016-12-09,10802.18,10835.91,10789.62,10766.56,77588544,-22.68,-0.21,10804.348,10913.829,10933.492,78341003.2,91074671.2,95744549.6
2016-12-12,10774.59,10775.57,10302.85,10292.54,115126880,-486.77,-4.51,10708.052,10837.227,10903.259,83090841.6,91454537.6,94869673.2
2016-12-13,10280.44,10364.06,10332.28,10192.13,81812800,29.43,0.29,10618.554,10766.985,10871.968,85486638.4,88298784,93641027.6
2016-12-14,10318.07,10333.66,10232.82,10213.95,79221984,-99.46,-0.96,10493.974,10689.048,10835.205,86426683.2,86437576.8,92141217.2
2016-12-15,10202.24,10331.98,10256.11,10195,75587200,23.29,0.23,10382.736,10605.843,10800.739,85867481.6,84455743.2,91655605.6
2016-12-16,10258.64,10346.53,10334.76,10239.21,67987400,78.65,0.77,10291.764,10548.056,10773.022,83947252.8,81144128,91107970
2016-12-19,10330.61,10330.61,10283.16,10262.69,65563488,-51.6,-0.5,10287.826,10497.939,10742.184,74034574.4,78562708,90271217.2
2016-12-20,10275.44,10276.63,10245.33,10204.02,63582324,-37.83,-0.37,10270.436,10444.495,10705.17,70388479.2,77937558.8,88661144.2
2016-12-21,10266.19,10320.34,10313.57,10266.19,62491032,68.24,0.67,10286.586,10390.28,10672.159,67042288.8,76734486,86385249.4
2016-12-22,10310.72,10323.07,10306.92,10257.32,58660432,-6.65,-0.06,10296.748,10339.742,10639.131,63656935.2,74762208.4,84180614.2
