date,open,high,low,close,volume,cma,y
 2016/02/04,2751.43,2793.3,2751.31,2781.02,170382016,2757.85,1
 2016/02/05,2783.08,2790.06,2762.16,2763.49,141186288,2783.3485714286,1
 2016/02/15,2684.96,2760.36,2682.09,2746.2,129263936,2799.5371428571,1
 2016/02/16,2758.58,2840.62,2758.58,2836.57,195961616,2816.79,1
 2016/02/17,2829.76,2868.7,2824.36,2867.34,216909920,2837.67,1
 2016/02/18,2881.78,2893.21,2857.7,2862.89,219203872,2857.6471428571,-1
 2016/02/19,2854.9,2872.72,2840.49,2860.02,163391408,2883.7471428571,-1
 2016/02/22,2888.6,2933.96,2880.35,2927.18,232176048,2870.13,-1
 2016/02/23,2925.71,2928.05,2872.28,2903.33,199740656,2855.8257142857,-1
 2016/02/24,2889.88,2929.87,2872.27,2928.9,213410384,2830.8385714286,-1
 2016/02/25,2922.24,2922.24,2729.85,2741.25,270284416,2812.7171428571,-1
 2016/02/26,2760.06,2784.75,2715.87,2767.21,191110464,2801.6457142857,1
 2016/02/29,2754.81,2755.89,2638.96,2687.98,207410704,2795.4214285714,1
 2016/03/01,2688.38,2747.56,2668.76,2733.17,187207440,2787.6,1
 2016/03/02,2733.77,2852.7,2732.54,2849.68,270961792,2809.8985714286,1
 2016/03/03,2847.33,2878.45,2840.87,2859.76,287478208,2829.0671428571,1
 2016/03/04,2848.54,2880.37,2808.85,2874.15,312495168,2854.0071428571,-1
 2016/03/07,2886.64,2911.84,2871.35,2897.34,217466832,2864.23,-1
 2016/03/08,2895.67,2902.62,2802.56,2901.39,233482656,2858.6057142857,-1
 2016/03/09,2839.41,2863.01,2811.72,2862.56,183355376,2858.5685714286,-1
 2016/03/10,2847.57,2863.18,2803.48,2804.73,138979456,2857.1714285714,1
 2016/03/11,2781.6,2815.61,2772.55,2810.31,127247552,2853.3271428571,1
 2016/03/14,2830.08,2889.82,2823.03,2859.5,194816032,2853.8185714286,1
 2016/03/15,2853.98,2865.79,2819.79,2864.37,163386672,2867.0457142857,1
 2016/03/16,2858.71,2881.53,2854.19,2870.43,186492528,2897.6271428571,1
 2016/03/17,2875.41,2921,2857.19,2904.83,200290208,2924.6342857143,1
 2016/03/18,2915.52,2971.55,2908.74,2955.15,313332736,2946.1285714286,1
 2016/03/21,2978.46,3028.32,2973.76,3018.8,352400448,2959.9285714286,1
 2016/03/22,3001.63,3019.1,2988.43,2999.36,270377312,2975.5,-1
 2016/03/23,2991.17,3012.56,2980.86,3009.96,216977456,2983.07,-1
 2016/03/24,2986.8,2998.15,2960.54,2960.97,237006400,2978.0242857143,1
 2016/03/25,2956.2,2981.41,2952.11,2979.43,175074336,2975.4314285714,1
 2016/03/28,2988.01,3008.17,2948.53,2957.82,202021248,2976.0828571429,1
 2016/03/29,2956.71,2962.2,2905.25,2919.83,182965344,2976.0214285714,1
 2016/03/30,2941.22,3001.11,2941.22,3000.65,210371456,2989.1785714286,1
 2016/03/31,3009.37,3023.41,2992.92,3003.92,220413440,2999.3442857143,1
 2016/04/01,2997.09,3009.67,2956.25,3009.53,206545872,3006.5728571429,1
 2016/04/05,3000.94,3057.33,2993.15,3053.07,256730336,3015.8771428571,1
 2016/04/06,3039.74,3059.79,3029,3050.59,232262048,3020.6357142857,1
 2016/04/07,3058.34,3062.36,3007.06,3008.42,220919504,3023.4542857143,1
 2016/04/08,2988.2,2996.17,2960.46,2984.96,187904640,3031.6128571429,1
 2016/04/11,3006.91,3048.98,3006.91,3033.96,220018320,3035.7971428571,1
 2016/04/12,3031.3,3036.82,3001.32,3023.65,182718672,3039.73,1
 2016/04/13,3041.36,3097.16,3041.36,3066.64,310003232,3043.3357142857,-1
 2016/04/14,3080.09,3086.7,3056.99,3082.36,208237824,3051.6014285714,-1
 2016/04/15,3085.03,3089.95,3066.87,3078.12,189613056,3042.8328571429,-1
 2016/04/18,3058.46,3058.46,3022.97,3033.66,183304512,3032.7242857143,-1
 2016/04/19,3047.13,3054.5,3024.9,3042.82,156533200,3017.3814285714,-1
 2016/04/20,3050.38,3055.69,2905.05,2972.58,283144224,2997.9971428571,-1
 2016/04/21,2954.37,2990.67,2943.46,2952.89,189406848,2981.7942857143,-1
 2016/04/22,2933.03,2960.21,2926.78,2959.24,137211664,2970.3671428571,1
 2016/04/25,2949.97,2954.09,2917.02,2946.67,125856240,2956.4771428571,1
 2016/04/26,2944.72,2965.43,2933.97,2964.7,117711600,2951.5828571429,1
 2016/04/27,2967.19,2976.02,2949.43,2953.67,130867640,2957.2614285714,1
 2016/04/28,2955.74,2959.51,2916.37,2945.59,138663280,2961.8371428571,1
 2016/04/29,2935.38,2950.58,2930.36,2938.32,109310624,2969.1471428571,1
 2016/05/03,2940.39,2993.53,2929.81,2992.64,168703648,2961.7971428571,-1
 2016/05/04,2983.03,3004.42,2978.33,2991.27,165407104,2944.4314285714,-1
 2016/05/05,2987.02,2999.12,2977.2,2997.84,144831376,2928.2885714286,-1
 2016/05/06,2998.4,3003.59,2913.04,2913.25,206796496,2913.82,-1
 2016/05/09,2896.16,2896.16,2821.83,2832.11,180378336,2891.4228571429,-1
 2016/05/10,2822.33,2845.24,2820.16,2832.59,120829312,2867.9714285714,-1
 2016/05/11,2843.54,2857.25,2818.7,2837.04,135795472,2846.9742857143,-1
 2016/05/12,2812.11,2839.28,2781.24,2835.86,136337648,2837.0357142857,-1
